"","YEAR","Sex","Race.Ethnicity","condition","AgeGroup","ASDR"
"24",2019,"Both","Hispanic","ExternalCause","25+",65.3858016661325
"25",2019,"Both","Hispanic","Influenza.and.pneumonia..J09.J18.","25+",17.8452422740222
"26",2019,"Both","Hispanic","Malignant.neoplasms..C00.C97.","25+",193.288410777973
"27",2019,"Both","Hispanic","Nephritis..nephrotic.syndrome.and.nephrosis..N00.N07.N17.N19.N25.N27.","25+",21.6412694292769
"28",2019,"Both","Hispanic","nonCovid","25+",918.186551722724
"29",2019,"Both","Hispanic","Other.diseases.of.respiratory.system..J00.J06.J30.J39.J67.J70.J98.","25+",16.7187505595817
"30",2019,"Both","Hispanic","Septicemia..A40.A41.","25+",12.266430010737
"31",2019,"Both","Hispanic","Symptoms..signs.and.abnormal.clinical.and.laboratory.findings..not.elsewhere.classified..R00.R99.","25+",6.85300832518957
"32",2019,"Both","Hispanic","Unknown","25+",196.804988913687
"33",2019,"Both","Non-Hispanic Black","AllCause","25+",1521.43050233757
"34",2019,"Both","Non-Hispanic Black","Alzheimer.disease..G30.","25+",50.4928050150171
"35",2019,"Both","Non-Hispanic Black","Cerebrovascular.diseases..I60.I69.","25+",96.5097473084224
"36",2019,"Both","Non-Hispanic Black","Chronic.lower.respiratory.diseases..J40.J47.","25+",53.3548692383812
"37",2019,"Both","Non-Hispanic Black","COVID.19..U071..Underlying.Cause.of.Death.","25+",0
"38",2019,"Both","Non-Hispanic Black","Diabetes.mellitus..E10.E14.","25+",69.9383956725272
"39",2019,"Both","Non-Hispanic Black","Diseases.of.heart..I00.I09.I11.I13.I20.I51.","25+",377.679968106661
"40",2019,"Both","Non-Hispanic Black","ExternalCause","25+",111.266806207293
"41",2019,"Both","Non-Hispanic Black","Influenza.and.pneumonia..J09.J18.","25+",24.6635860532617
"42",2019,"Both","Non-Hispanic Black","Malignant.neoplasms..C00.C97.","25+",319.557332820561
"43",2019,"Both","Non-Hispanic Black","Nephritis..nephrotic.syndrome.and.nephrosis..N00.N07.N17.N19.N25.N27.","25+",45.9661444432869
"44",2019,"Both","Non-Hispanic Black","nonCovid","25+",1521.43050233757
"45",2019,"Both","Non-Hispanic Black","Other.diseases.of.respiratory.system..J00.J06.J30.J39.J67.J70.J98.","25+",18.4929447743309
"46",2019,"Both","Non-Hispanic Black","Septicemia..A40.A41.","25+",28.935902772378
"47",2019,"Both","Non-Hispanic Black","Symptoms..signs.and.abnormal.clinical.and.laboratory.findings..not.elsewhere.classified..R00.R99.","25+",15.441431149365
"48",2019,"Both","Non-Hispanic Black","Unknown","25+",309.130568776088
"49",2019,"Both","Non-Hispanic White","AllCause","25+",1299.77934845413
"50",2019,"Both","Non-Hispanic White","Alzheimer.disease..G30.","25+",57.5552007471972
"51",2019,"Both","Non-Hispanic White","Cerebrovascular.diseases..I60.I69.","25+",64.9424211769365
"52",2019,"Both","Non-Hispanic White","Chronic.lower.respiratory.diseases..J40.J47.","25+",80.8610900240841
"53",2019,"Both","Non-Hispanic White","COVID.19..U071..Underlying.Cause.of.Death.","25+",0
"54",2019,"Both","Non-Hispanic White","Diabetes.mellitus..E10.E14.","25+",34.6798228894519
"55",2019,"Both","Non-Hispanic White","Diseases.of.heart..I00.I09.I11.I13.I20.I51.","25+",303.826396154278
"56",2019,"Both","Non-Hispanic White","ExternalCause","25+",108.858352952643
"57",2019,"Both","Non-Hispanic White","Influenza.and.pneumonia..J09.J18.","25+",22.4374999747936
"58",2019,"Both","Non-Hispanic White","Malignant.neoplasms..C00.C97.","25+",278.950568225728
"59",2019,"Both","Non-Hispanic White","Nephritis..nephrotic.syndrome.and.nephrosis..N00.N07.N17.N19.N25.N27.","25+",20.7598734303774
"60",2019,"Both","Non-Hispanic White","nonCovid","25+",1299.77934845413
"61",2019,"Both","Non-Hispanic White","Other.diseases.of.respiratory.system..J00.J06.J30.J39.J67.J70.J98.","25+",20.6015118194885
"62",2019,"Both","Non-Hispanic White","Septicemia..A40.A41.","25+",16.8419205496409
"63",2019,"Both","Non-Hispanic White","Symptoms..signs.and.abnormal.clinical.and.laboratory.findings..not.elsewhere.classified..R00.R99.","25+",13.8977950465476
"64",2019,"Both","Non-Hispanic White","Unknown","25+",275.566895462961
"65",2019,"Female","All","AllCause","25+",1063.92092327107
"66",2019,"Female","All","Alzheimer.disease..G30.","25+",61.3257686591036
"67",2019,"Female","All","Cerebrovascular.diseases..I60.I69.","25+",65.1359437297241
"68",2019,"Female","All","Chronic.lower.respiratory.diseases..J40.J47.","25+",65.7821427564047
"69",2019,"Female","All","COVID.19..U071..Underlying.Cause.of.Death.","25+",0
"70",2019,"Female","All","Diabetes.mellitus..E10.E14.","25+",30.5634778338763
"71",2019,"Female","All","Diseases.of.heart..I00.I09.I11.I13.I20.I51.","25+",230.330530763174
"72",2019,"Female","All","ExternalCause","25+",58.9781270901384
"73",2019,"Female","All","Influenza.and.pneumonia..J09.J18.","25+",19.1920763938073
"74",2019,"Female","All","Malignant.neoplasms..C00.C97.","25+",230.010942916157
"75",2019,"Female","All","Nephritis..nephrotic.syndrome.and.nephrosis..N00.N07.N17.N19.N25.N27.","25+",19.4740254236455
"76",2019,"Female","All","nonCovid","25+",1063.92092327107
"77",2019,"Female","All","Other.diseases.of.respiratory.system..J00.J06.J30.J39.J67.J70.J98.","25+",16.780651219926
"78",2019,"Female","All","Septicemia..A40.A41.","25+",15.4401522682618
"79",2019,"Female","All","Symptoms..signs.and.abnormal.clinical.and.laboratory.findings..not.elsewhere.classified..R00.R99.","25+",11.7931107434643
"80",2019,"Female","All","Unknown","25+",239.113973473392
"81",2019,"Female","Hispanic","AllCause","25+",761.855728226744
"82",2019,"Female","Hispanic","Alzheimer.disease..G30.","25+",51.9062059599955
"83",2019,"Female","Hispanic","Cerebrovascular.diseases..I60.I69.","25+",55.2226259734293
"84",2019,"Female","Hispanic","Chronic.lower.respiratory.diseases..J40.J47.","25+",24.6461781823015
"85",2019,"Female","Hispanic","COVID.19..U071..Underlying.Cause.of.Death.","25+",0
"86",2019,"Female","Hispanic","Diabetes.mellitus..E10.E14.","25+",38.6715771683328
"87",2019,"Female","Hispanic","Diseases.of.heart..I00.I09.I11.I13.I20.I51.","25+",158.693906402642
"88",2019,"Female","Hispanic","ExternalCause","25+",33.3327299090748
"89",2019,"Female","Hispanic","Influenza.and.pneumonia..J09.J18.","25+",14.8253447080969
"90",2019,"Female","Hispanic","Malignant.neoplasms..C00.C97.","25+",165.750824160144
"91",2019,"Female","Hispanic","Nephritis..nephrotic.syndrome.and.nephrosis..N00.N07.N17.N19.N25.N27.","25+",18.3308931177425
"92",2019,"Female","Hispanic","nonCovid","25+",761.855728226744
"93",2019,"Female","Hispanic","Other.diseases.of.respiratory.system..J00.J06.J30.J39.J67.J70.J98.","25+",14.8671264433675
"94",2019,"Female","Hispanic","Septicemia..A40.A41.","25+",10.4887165785851
"95",2019,"Female","Hispanic","Symptoms..signs.and.abnormal.clinical.and.laboratory.findings..not.elsewhere.classified..R00.R99.","25+",5.29372641892828
"96",2019,"Female","Hispanic","Unknown","25+",169.825873204103
"97",2019,"Female","Non-Hispanic Black","AllCause","25+",1257.78036322628
"98",2019,"Female","Non-Hispanic Black","Alzheimer.disease..G30.","25+",54.86387502776
"99",2019,"Female","Non-Hispanic Black","Cerebrovascular.diseases..I60.I69.","25+",88.4747068169701
"100",2019,"Female","Non-Hispanic Black","Chronic.lower.respiratory.diseases..J40.J47.","25+",44.3410371216716
"101",2019,"Female","Non-Hispanic Black","COVID.19..U071..Underlying.Cause.of.Death.","25+",0
"102",2019,"Female","Non-Hispanic Black","Diabetes.mellitus..E10.E14.","25+",58.8406317834863
"103",2019,"Female","Non-Hispanic Black","Diseases.of.heart..I00.I09.I11.I13.I20.I51.","25+",298.468849128831
"104",2019,"Female","Non-Hispanic Black","ExternalCause","25+",53.9286255594362
"105",2019,"Female","Non-Hispanic Black","Influenza.and.pneumonia..J09.J18.","25+",21.0094817992195
"106",2019,"Female","Non-Hispanic Black","Malignant.neoplasms..C00.C97.","25+",271.179719588977
"107",2019,"Female","Non-Hispanic Black","Nephritis..nephrotic.syndrome.and.nephrosis..N00.N07.N17.N19.N25.N27.","25+",39.2999352470945
"108",2019,"Female","Non-Hispanic Black","nonCovid","25+",1257.78036322628
"109",2019,"Female","Non-Hispanic Black","Other.diseases.of.respiratory.system..J00.J06.J30.J39.J67.J70.J98.","25+",16.6193511850531
"110",2019,"Female","Non-Hispanic Black","Septicemia..A40.A41.","25+",25.6776253061115
"111",2019,"Female","Non-Hispanic Black","Symptoms..signs.and.abnormal.clinical.and.laboratory.findings..not.elsewhere.classified..R00.R99.","25+",12.797853434091
"112",2019,"Female","Non-Hispanic Black","Unknown","25+",272.278671227574
"113",2019,"Female","Non-Hispanic White","AllCause","25+",1109.02212009588
"114",2019,"Female","Non-Hispanic White","Alzheimer.disease..G30.","25+",65.1027846804868
"115",2019,"Female","Non-Hispanic White","Cerebrovascular.diseases..I60.I69.","25+",63.8989704365127
"116",2019,"Female","Non-Hispanic White","Chronic.lower.respiratory.diseases..J40.J47.","25+",77.2443473150898
"117",2019,"Female","Non-Hispanic White","COVID.19..U071..Underlying.Cause.of.Death.","25+",0
"118",2019,"Female","Non-Hispanic White","Diabetes.mellitus..E10.E14.","25+",25.8356670700939
"119",2019,"Female","Non-Hispanic White","Diseases.of.heart..I00.I09.I11.I13.I20.I51.","25+",236.489891557391
"120",2019,"Female","Non-Hispanic White","ExternalCause","25+",68.1347315661462
"121",2019,"Female","Non-Hispanic White","Influenza.and.pneumonia..J09.J18.","25+",19.7166523551383
"122",2019,"Female","Non-Hispanic White","Malignant.neoplasms..C00.C97.","25+",239.098284367324
"123",2019,"Female","Non-Hispanic White","Nephritis..nephrotic.syndrome.and.nephrosis..N00.N07.N17.N19.N25.N27.","25+",17.2734642870728
"124",2019,"Female","Non-Hispanic White","nonCovid","25+",1109.02212009588
"125",2019,"Female","Non-Hispanic White","Other.diseases.of.respiratory.system..J00.J06.J30.J39.J67.J70.J98.","25+",17.501607441401
"126",2019,"Female","Non-Hispanic White","Septicemia..A40.A41.","25+",15.3017094121351
"127",2019,"Female","Non-Hispanic White","Symptoms..signs.and.abnormal.clinical.and.laboratory.findings..not.elsewhere.classified..R00.R99.","25+",12.9389921800641
"128",2019,"Female","Non-Hispanic White","Unknown","25+",250.48501742702
"129",2019,"Male","All","AllCause","25+",1479.09805428098
"130",2019,"Male","All","Alzheimer.disease..G30.","25+",43.4416553256872
"131",2019,"Male","All","Cerebrovascular.diseases..I60.I69.","25+",68.3077016522852
"132",2019,"Male","All","Chronic.lower.respiratory.diseases..J40.J47.","25+",77.0407293405071
"133",2019,"Male","All","COVID.19..U071..Underlying.Cause.of.Death.","25+",0
"134",2019,"Male","All","Diabetes.mellitus..E10.E14.","25+",49.7566214384538
"135",2019,"Male","All","Diseases.of.heart..I00.I09.I11.I13.I20.I51.","25+",374.227463534134
"136",2019,"Male","All","ExternalCause","25+",142.211073305289
"137",2019,"Male","All","Influenza.and.pneumonia..J09.J18.","25+",25.894837164569
"138",2019,"Male","All","Malignant.neoplasms..C00.C97.","25+",319.45738676603
"139",2019,"Male","All","Nephritis..nephrotic.syndrome.and.nephrosis..N00.N07.N17.N19.N25.N27.","25+",28.0053253158789
"140",2019,"Male","All","nonCovid","25+",1479.09805428098
"141",2019,"Male","All","Other.diseases.of.respiratory.system..J00.J06.J30.J39.J67.J70.J98.","25+",23.4185642924763
"142",2019,"Male","All","Septicemia..A40.A41.","25+",19.2896435254463
"143",2019,"Male","All","Symptoms..signs.and.abnormal.clinical.and.laboratory.findings..not.elsewhere.classified..R00.R99.","25+",14.1486601071668
"144",2019,"Male","All","Unknown","25+",293.898392513054
"145",2019,"Male","Hispanic","AllCause","25+",1105.90008984191
"146",2019,"Male","Hispanic","Alzheimer.disease..G30.","25+",37.6275528656961
"147",2019,"Male","Hispanic","Cerebrovascular.diseases..I60.I69.","25+",64.5600733630523
"148",2019,"Male","Hispanic","Chronic.lower.respiratory.diseases..J40.J47.","25+",36.4656761212685
"149",2019,"Male","Hispanic","COVID.19..U071..Underlying.Cause.of.Death.","25+",0
"150",2019,"Male","Hispanic","Diabetes.mellitus..E10.E14.","25+",57.7556857769662
"151",2019,"Male","Hispanic","Diseases.of.heart..I00.I09.I11.I13.I20.I51.","25+",260.975438426286
"152",2019,"Male","Hispanic","ExternalCause","25+",98.8467014431029
"153",2019,"Male","Hispanic","Influenza.and.pneumonia..J09.J18.","25+",21.7321014460647
"154",2019,"Male","Hispanic","Malignant.neoplasms..C00.C97.","25+",231.716798046362
"155",2019,"Male","Hispanic","Nephritis..nephrotic.syndrome.and.nephrosis..N00.N07.N17.N19.N25.N27.","25+",25.9023371822746
"156",2019,"Male","Hispanic","nonCovid","25+",1105.90008984191
"157",2019,"Male","Hispanic","Other.diseases.of.respiratory.system..J00.J06.J30.J39.J67.J70.J98.","25+",19.1884907562351
"158",2019,"Male","Hispanic","Septicemia..A40.A41.","25+",14.5661750954598
"159",2019,"Male","Hispanic","Symptoms..signs.and.abnormal.clinical.and.laboratory.findings..not.elsewhere.classified..R00.R99.","25+",8.52367062576152
"160",2019,"Male","Hispanic","Unknown","25+",228.039388693377
"161",2019,"Male","Non-Hispanic Black","AllCause","25+",1877.17387838602
"162",2019,"Male","Non-Hispanic Black","Alzheimer.disease..G30.","25+",41.4154934564307
"163",2019,"Male","Non-Hispanic Black","Cerebrovascular.diseases..I60.I69.","25+",105.712219598663
"164",2019,"Male","Non-Hispanic Black","Chronic.lower.respiratory.diseases..J40.J47.","25+",67.9211548212294
"165",2019,"Male","Non-Hispanic Black","COVID.19..U071..Underlying.Cause.of.Death.","25+",0
"166",2019,"Male","Non-Hispanic Black","Diabetes.mellitus..E10.E14.","25+",85.0504687362806
"167",2019,"Male","Non-Hispanic Black","Diseases.of.heart..I00.I09.I11.I13.I20.I51.","25+",485.466430210076
"168",2019,"Male","Non-Hispanic Black","ExternalCause","25+",178.022940886223
"169",2019,"Male","Non-Hispanic Black","Influenza.and.pneumonia..J09.J18.","25+",30.1812215481291
"170",2019,"Male","Non-Hispanic Black","Malignant.neoplasms..C00.C97.","25+",395.307120629429
"171",2019,"Male","Non-Hispanic Black","Nephritis..nephrotic.syndrome.and.nephrosis..N00.N07.N17.N19.N25.N27.","25+",55.8509943788415
"172",2019,"Male","Non-Hispanic Black","nonCovid","25+",1877.17387838602
"173",2019,"Male","Non-Hispanic Black","Other.diseases.of.respiratory.system..J00.J06.J30.J39.J67.J70.J98.","25+",21.4933695847755
"174",2019,"Male","Non-Hispanic Black","Septicemia..A40.A41.","25+",33.9159721813331
"175",2019,"Male","Non-Hispanic Black","Symptoms..signs.and.abnormal.clinical.and.laboratory.findings..not.elsewhere.classified..R00.R99.","25+",18.5833467708118
"176",2019,"Male","Non-Hispanic Black","Unknown","25+",358.253145583794
"177",2019,"Male","Non-Hispanic White","AllCause","25+",1521.41423196719
"178",2019,"Male","Non-Hispanic White","Alzheimer.disease..G30.","25+",45.7063365862021
"179",2019,"Male","Non-Hispanic White","Cerebrovascular.diseases..I60.I69.","25+",64.8861428712333
"180",2019,"Male","Non-Hispanic White","Chronic.lower.respiratory.diseases..J40.J47.","25+",85.8211254090325
"181",2019,"Male","Non-Hispanic White","COVID.19..U071..Underlying.Cause.of.Death.","25+",0
"182",2019,"Male","Non-Hispanic White","Diabetes.mellitus..E10.E14.","25+",45.24398892659
"183",2019,"Male","Non-Hispanic White","Diseases.of.heart..I00.I09.I11.I13.I20.I51.","25+",384.832300971214
"184",2019,"Male","Non-Hispanic White","ExternalCause","25+",152.1024219465
"185",2019,"Male","Non-Hispanic White","Influenza.and.pneumonia..J09.J18.","25+",26.0097050617769
"186",2019,"Male","Non-Hispanic White","Malignant.neoplasms..C00.C97.","25+",330.55574282756
"187",2019,"Male","Non-Hispanic White","Nephritis..nephrotic.syndrome.and.nephrosis..N00.N07.N17.N19.N25.N27.","25+",25.491909419685
"188",2019,"Male","Non-Hispanic White","nonCovid","25+",1521.41423196719
"189",2019,"Male","Non-Hispanic White","Other.diseases.of.respiratory.system..J00.J06.J30.J39.J67.J70.J98.","25+",24.657930863691
"190",2019,"Male","Non-Hispanic White","Septicemia..A40.A41.","25+",18.8758367265095
"191",2019,"Male","Non-Hispanic White","Symptoms..signs.and.abnormal.clinical.and.laboratory.findings..not.elsewhere.classified..R00.R99.","25+",14.6939673035225
"192",2019,"Male","Non-Hispanic White","Unknown","25+",302.536823053672
"193",2020,"Both","All","AllCause","25+",1467.18106614886
"194",2020,"Both","All","Alzheimer.disease..G30.","25+",59.2498918073175
"195",2020,"Both","All","Cerebrovascular.diseases..I60.I69.","25+",70.649719070548
"196",2020,"Both","All","Chronic.lower.respiratory.diseases..J40.J47.","25+",67.2389486438267
"197",2020,"Both","All","COVID.19..U071..Underlying.Cause.of.Death.","25+",154.788527754977
"198",2020,"Both","All","Diabetes.mellitus..E10.E14.","25+",44.9762808714821
"199",2020,"Both","All","Diseases.of.heart..I00.I09.I11.I13.I20.I51.","25+",307.479409635615
"200",2020,"Both","All","ExternalCause","25+",110.818269726046
"201",2020,"Both","All","Influenza.and.pneumonia..J09.J18.","25+",23.4734250881173
"202",2020,"Both","All","Malignant.neoplasms..C00.C97.","25+",265.012891013446
"203",2020,"Both","All","Nephritis..nephrotic.syndrome.and.nephrosis..N00.N07.N17.N19.N25.N27.","25+",23.1504388070876
"204",2020,"Both","All","nonCovid","25+",1312.39253839388
"205",2020,"Both","All","Other.diseases.of.respiratory.system..J00.J06.J30.J39.J67.J70.J98.","25+",19.7445219993435
"206",2020,"Both","All","Septicemia..A40.A41.","25+",17.6367276489622
"207",2020,"Both","All","Symptoms..signs.and.abnormal.clinical.and.laboratory.findings..not.elsewhere.classified..R00.R99.","25+",13.5835145648921
"208",2020,"Both","All","Unknown","25+",289.378499517195
"209",2020,"Both","Hispanic","AllCause","25+",1278.89719584533
"210",2020,"Both","Hispanic","Alzheimer.disease..G30.","25+",53.0071706443016
"211",2020,"Both","Hispanic","Cerebrovascular.diseases..I60.I69.","25+",63.6275161520983
"212",2020,"Both","Hispanic","Chronic.lower.respiratory.diseases..J40.J47.","25+",29.1368742800985
"213",2020,"Both","Hispanic","COVID.19..U071..Underlying.Cause.of.Death.","25+",285.79149961378
"214",2020,"Both","Hispanic","Diabetes.mellitus..E10.E14.","25+",56.8184636455309
"215",2020,"Both","Hispanic","Diseases.of.heart..I00.I09.I11.I13.I20.I51.","25+",225.592299790733
"216",2020,"Both","Hispanic","ExternalCause","25+",74.6939545129523
"217",2020,"Both","Hispanic","Influenza.and.pneumonia..J09.J18.","25+",21.9734203986174
"218",2020,"Both","Hispanic","Malignant.neoplasms..C00.C97.","25+",189.216713152628
"219",2020,"Both","Hispanic","Nephritis..nephrotic.syndrome.and.nephrosis..N00.N07.N17.N19.N25.N27.","25+",21.4550950770244
"220",2020,"Both","Hispanic","nonCovid","25+",993.105696231555
"221",2020,"Both","Hispanic","Other.diseases.of.respiratory.system..J00.J06.J30.J39.J67.J70.J98.","25+",17.2430180040062
"222",2020,"Both","Hispanic","Septicemia..A40.A41.","25+",13.0541653612542
"223",2020,"Both","Hispanic","Symptoms..signs.and.abnormal.clinical.and.laboratory.findings..not.elsewhere.classified..R00.R99.","25+",7.81614592899354
"224",2020,"Both","Hispanic","Unknown","25+",219.470859283317
"225",2020,"Both","Non-Hispanic Black","AllCause","25+",1934.77758489808
"226",2020,"Both","Non-Hispanic Black","Alzheimer.disease..G30.","25+",57.62412318549
"227",2020,"Both","Non-Hispanic Black","Cerebrovascular.diseases..I60.I69.","25+",104.689979288378
"228",2020,"Both","Non-Hispanic Black","Chronic.lower.respiratory.diseases..J40.J47.","25+",55.8421811997288
"229",2020,"Both","Non-Hispanic Black","COVID.19..U071..Underlying.Cause.of.Death.","25+",259.169794813145
"230",2020,"Both","Non-Hispanic Black","Diabetes.mellitus..E10.E14.","25+",85.3129591292518
"231",2020,"Both","Non-Hispanic Black","Diseases.of.heart..I00.I09.I11.I13.I20.I51.","25+",420.282701540331
"232",2020,"Both","Non-Hispanic Black","ExternalCause","25+",140.301693467477
"233",2020,"Both","Non-Hispanic Black","Influenza.and.pneumonia..J09.J18.","25+",30.8059840016659
"234",2020,"Both","Non-Hispanic Black","Malignant.neoplasms..C00.C97.","25+",312.546064323747
"235",2020,"Both","Non-Hispanic Black","Nephritis..nephrotic.syndrome.and.nephrosis..N00.N07.N17.N19.N25.N27.","25+",48.0970407458251
"236",2020,"Both","Non-Hispanic Black","nonCovid","25+",1675.60779008493
"237",2020,"Both","Non-Hispanic Black","Other.diseases.of.respiratory.system..J00.J06.J30.J39.J67.J70.J98.","25+",21.7050961593078
"238",2020,"Both","Non-Hispanic Black","Septicemia..A40.A41.","25+",30.4111253901446
"239",2020,"Both","Non-Hispanic Black","Symptoms..signs.and.abnormal.clinical.and.laboratory.findings..not.elsewhere.classified..R00.R99.","25+",18.0088977189047
"240",2020,"Both","Non-Hispanic Black","Unknown","25+",349.979943934682
"241",2020,"Both","Non-Hispanic White","AllCause","25+",1468.90892570831
"242",2020,"Both","Non-Hispanic White","Alzheimer.disease..G30.","25+",62.1255155167422
"243",2020,"Both","Non-Hispanic White","Cerebrovascular.diseases..I60.I69.","25+",67.7663970621347
"244",2020,"Both","Non-Hispanic White","Chronic.lower.respiratory.diseases..J40.J47.","25+",76.6815223536501
"245",2020,"Both","Non-Hispanic White","COVID.19..U071..Underlying.Cause.of.Death.","25+",121.943325835811
"246",2020,"Both","Non-Hispanic White","Diabetes.mellitus..E10.E14.","25+",38.4268506322032
"247",2020,"Both","Non-Hispanic White","Diseases.of.heart..I00.I09.I11.I13.I20.I51.","25+",312.022858708617
"248",2020,"Both","Non-Hispanic White","ExternalCause","25+",119.08319947563
"249",2020,"Both","Non-Hispanic White","Influenza.and.pneumonia..J09.J18.","25+",22.8928086389573
"250",2020,"Both","Non-Hispanic White","Malignant.neoplasms..C00.C97.","25+",276.537308249531
"251",2020,"Both","Non-Hispanic White","Nephritis..nephrotic.syndrome.and.nephrosis..N00.N07.N17.N19.N25.N27.","25+",20.4919258310002
"252",2020,"Both","Non-Hispanic White","nonCovid","25+",1346.9655998725
"253",2020,"Both","Non-Hispanic White","Other.diseases.of.respiratory.system..J00.J06.J30.J39.J67.J70.J98.","25+",20.3647371719741
"254",2020,"Both","Non-Hispanic White","Septicemia..A40.A41.","25+",17.2378139118742
"255",2020,"Both","Non-Hispanic White","Symptoms..signs.and.abnormal.clinical.and.laboratory.findings..not.elsewhere.classified..R00.R99.","25+",14.0350767759355
"256",2020,"Both","Non-Hispanic White","Unknown","25+",299.299585544246
"257",2020,"Female","All","AllCause","25+",1230.08131382308
"258",2020,"Female","All","Alzheimer.disease..G30.","25+",67.5192294945096
"259",2020,"Female","All","Cerebrovascular.diseases..I60.I69.","25+",68.0852191058049
"260",2020,"Female","All","Chronic.lower.respiratory.diseases..J40.J47.","25+",61.9250675510084
"261",2020,"Female","All","COVID.19..U071..Underlying.Cause.of.Death.","25+",121.490628238789
"262",2020,"Female","All","Diabetes.mellitus..E10.E14.","25+",35.2851954732027
"263",2020,"Female","All","Diseases.of.heart..I00.I09.I11.I13.I20.I51.","25+",237.952810704037
"264",2020,"Female","All","ExternalCause","25+",64.4086796937387
"265",2020,"Female","All","Influenza.and.pneumonia..J09.J18.","25+",19.7402381217139
"266",2020,"Female","All","Malignant.neoplasms..C00.C97.","25+",227.240342153033
"267",2020,"Female","All","Nephritis..nephrotic.syndrome.and.nephrosis..N00.N07.N17.N19.N25.N27.","25+",19.4986773828208
"268",2020,"Female","All","nonCovid","25+",1108.59068558429
"269",2020,"Female","All","Other.diseases.of.respiratory.system..J00.J06.J30.J39.J67.J70.J98.","25+",16.7043464785973
"270",2020,"Female","All","Septicemia..A40.A41.","25+",16.1049389043481
"271",2020,"Female","All","Symptoms..signs.and.abnormal.clinical.and.laboratory.findings..not.elsewhere.classified..R00.R99.","25+",12.2559376639235
"272",2020,"Female","All","Unknown","25+",261.870002857551
"273",2020,"Female","Hispanic","AllCause","25+",1016.12559596391
"274",2020,"Female","Hispanic","Alzheimer.disease..G30.","25+",59.6636282634417
"275",2020,"Female","Hispanic","Cerebrovascular.diseases..I60.I69.","25+",58.6311513954221
"276",2020,"Female","Hispanic","Chronic.lower.respiratory.diseases..J40.J47.","25+",24.5382559097093
"277",2020,"Female","Hispanic","COVID.19..U071..Underlying.Cause.of.Death.","25+",198.052988756811
"278",2020,"Female","Hispanic","Diabetes.mellitus..E10.E14.","25+",46.330119754076
"279",2020,"Female","Hispanic","Diseases.of.heart..I00.I09.I11.I13.I20.I51.","25+",173.273284778436
"280",2020,"Female","Hispanic","ExternalCause","25+",35.7526581471733
"281",2020,"Female","Hispanic","Influenza.and.pneumonia..J09.J18.","25+",17.8830128769897
"282",2020,"Female","Hispanic","Malignant.neoplasms..C00.C97.","25+",163.700228254119
"283",2020,"Female","Hispanic","Nephritis..nephrotic.syndrome.and.nephrosis..N00.N07.N17.N19.N25.N27.","25+",17.9399185360584
"284",2020,"Female","Hispanic","nonCovid","25+",818.072607207103
"285",2020,"Female","Hispanic","Other.diseases.of.respiratory.system..J00.J06.J30.J39.J67.J70.J98.","25+",14.5478132733565
"286",2020,"Female","Hispanic","Septicemia..A40.A41.","25+",11.6846828224551
"287",2020,"Female","Hispanic","Symptoms..signs.and.abnormal.clinical.and.laboratory.findings..not.elsewhere.classified..R00.R99.","25+",6.10579616352162
"288",2020,"Female","Hispanic","Unknown","25+",188.022057032344
"289",2020,"Female","Non-Hispanic Black","AllCause","25+",1580.79359744763
